Time (ps),RMSD (nm)
4990.0,0.19894628
5000.0,0.21013574
5010.0,0.19066791
5020.0,0.11332478
5030.0,0.13214055
5040.0,0.117758155
5050.0,0.19690484
5060.0,0.20133542
5070.0,0.11229588
5080.0,0.1533533
5090.0,0.13504925
5100.0,0.115808025
5110.0,0.15743214
5120.0,0.12148957
5130.0,0.20490395
5140.0,0.16254255
5150.0,0.12849797
5160.0,0.13434002
5170.0,0.12034789
5180.0,0.11788431
5190.0,0.20632853
5200.0,0.18044165
5210.0,0.21026433
5220.0,0.19525164
5230.0,0.1507805
5240.0,0.21472831
5250.0,0.21526179
5260.0,0.1916932
5270.0,0.20515954
5280.0,0.18587291
5290.0,0.13963053
5300.0,0.13905379
5310.0,0.18073866
5320.0,0.20650443
5330.0,0.15928012
5340.0,0.18830538
5350.0,0.17857271
5360.0,0.2112914
5370.0,0.13066281
5380.0,0.12989758
5390.0,0.2045199
5400.0,0.121590614
5410.0,0.22189495
5420.0,0.19981228
5430.0,0.12683892
5440.0,0.122302845
5450.0,0.17013584
5460.0,0.20932147
5470.0,0.20713122
5480.0,0.17682946
5490.0,0.15417472
5500.0,0.19388303
5510.0,0.21400869
5520.0,0.18976043
5530.0,0.20198654
5540.0,0.20814067
5550.0,0.21398076
5560.0,0.16462919
5570.0,0.21126519
5580.0,0.19727199
5590.0,0.18761905
5600.0,0.18275528
5610.0,0.14146918
5620.0,0.16887626
5630.0,0.12794323
5640.0,0.12623617
5650.0,0.117460504
5660.0,0.19840223
5670.0,0.19772166
5680.0,0.17135616
5690.0,0.20607574
5700.0,0.1352642
5710.0,0.15738678
5720.0,0.20371057
5730.0,0.20291212
5740.0,0.15290262
5750.0,0.18435323
5760.0,0.16797526
5770.0,0.20966077
5780.0,0.21043715
5790.0,0.15123059
5800.0,0.15478453
5810.0,0.14511956
5820.0,0.20030038
5830.0,0.12134378
5840.0,0.15980338
5850.0,0.18667895
5860.0,0.21258688
5870.0,0.1237261
5880.0,0.13756424
5890.0,0.20461404
5900.0,0.11082513
5910.0,0.10530365
5920.0,0.09397279
5930.0,0.1256396
5940.0,0.16227917
5950.0,0.13113496
5960.0,0.18007311
5970.0,0.14050636
5980.0,0.18056548
5990.0,0.15936655
